,0
799,527
800,410
801,406
802,407
803,412
804,409
805,406
806,404
807,403
808,405
809,405
810,418
811,516
812,523
813,516
814,490
815,401
816,399
817,397
818,398
819,402
820,399
821,390
822,447
823,515
824,529
825,519
826,406
827,397
828,406
829,410
830,410
831,399
832,392
833,391
834,517
835,524
836,522
837,402
838,396
839,397
840,409
841,415
842,413
843,398
844,393
845,489
846,531
847,533
848,512
849,403
850,399
851,402
852,410
853,413
854,409
855,403
856,491
857,528
858,521
859,449
860,407
861,411
862,412
863,411
864,407
865,408
866,408
867,527
868,529
869,518
870,409
871,413
872,411
873,409
874,408
875,408
876,406
877,418
878,522
879,523
880,516
881,410
882,410
883,409
884,406
885,406
886,405
887,402
888,392
889,493
890,525
891,521
892,487
893,409
894,402
895,399
896,404
897,414
898,418
899,413
900,413
901,520
902,539
903,552
904,534
905,427
906,417
907,407
908,405
909,407
910,413
911,413
912,536
913,549
914,545
915,489
916,417
917,416
918,408
919,409
920,412
921,412
922,479
923,529
924,543
925,530
926,423
927,417
928,412
929,411
930,408
931,411
932,525
933,539
934,528
935,447
936,414
937,414
938,412
939,410
940,414
941,502
942,545
943,540
944,527
945,415
946,418
947,416
948,414
949,412
950,465
951,535
952,532
953,517
954,419
955,419
956,411
957,408
958,408
959,417
960,420
961,542
962,542
963,558
964,555
965,469
966,427
967,428
968,425
969,425
970,428
971,540
972,555
973,552
974,534
975,432
976,435
977,435
978,434
979,433
980,432
981,532
982,552
983,555
984,538
985,434
986,436
987,433
988,433
989,435
990,538
991,561
992,562
993,551
994,444
995,444
996,445
997,442
998,441
999,556
1000,572
1001,567
1002,536
1003,443
1004,443
1005,439
1006,437
1007,439
1008,549
1009,559
1010,553
1011,461
1012,439
1013,440
1014,439
1015,440
1016,441
1017,549
1018,545
1019,521
1020,440
1021,440
1022,437
1023,431
1024,528
1025,548
1026,548
1027,537
1028,439
1029,439
1030,439
1031,434
1032,432
1033,540
1034,553
1035,555
1036,535
1037,433
1038,431
1039,427
1040,425
1041,532
1042,554
1043,553
1044,536
1045,433
1046,434
1047,427
1048,456
1049,543
1050,552
1051,536
1052,434
1053,426
1054,424
1055,425
1056,430
1057,546
1058,551
1059,542
1060,427
1061,429
1062,427
1063,430
1064,535
1065,543
1066,530
1067,428
1068,425
1069,422
1070,425
1071,536
1072,525
1073,524
1074,424
1075,423
1076,465
1077,532
1078,530
1079,424
1080,426
1081,510
1082,533
1083,418
1084,425
1085,434
1086,530
1087,420
1088,421
1089,427
1090,426
1091,430
1092,530
1093,420
1094,425
1095,426
1096,536
1097,477
1098,424
1099,432
1100,529
1101,533
1102,420
1103,424
1104,527
1105,541
1106,460
1107,428
1108,425
1109,534
1110,428
1111,427
1112,432
1113,437
1114,548
1115,557
1116,429
1117,436
1118,438
1119,533
1120,423
1121,425
1122,429
1123,547
1124,539
1125,433
1126,430
1127,533
1128,520
1129,429
1130,432
1131,542
1132,551
1133,423
1134,438
1135,443
1136,546
1137,410
1138,414
1139,433
1140,547
1141,520
1142,427
1143,427
1144,528
1145,540
1146,432
1147,433
1148,518
1149,544
1150,427
1151,430
1152,531
1153,558
1154,542
1155,432
1156,439
1157,527
1158,516
1159,423
1160,424
1161,533
1162,537
1163,425
1164,426
1165,432
1166,525
1167,421
1168,424
1169,518
1170,518
1171,525
1172,418
1173,422
1174,524
1175,519
1176,418
1177,420
1178,529
1179,526
1180,420
1181,420
1182,527
1183,419
1184,422
1185,422
1186,533
1187,472
1188,420
1189,491
1190,539
1191,419
1192,421
1193,418
1194,535
1195,418
1196,425
1197,426
1198,523
1199,512
1200,414
1201,422
1202,533
1203,531
1204,421
1205,419
1206,528
1207,537
1208,431
1209,423
1210,538
1211,538
1212,548
1213,420
1214,424
1215,427
1216,537
1217,533
1218,518
1219,473
1220,430
1221,426
1222,532
1223,540
1224,534
1225,430
1226,430
1227,431
1228,420
1229,466
1230,535
1231,548
1232,539
1233,537
1234,528
1235,482
1236,458
1237,430
1238,434
1239,461
1240,494
1241,505
1242,512
1243,514
1244,518
1245,516
1246,516
1247,518
1248,519
1249,519
1250,519
1251,522
1252,528
1253,532
1254,533
1255,534
1256,535
1257,536
1258,539
1259,539
1260,541
1261,545
1262,548
1263,546
1264,541
1265,537
1266,537
1267,536
1268,537
1269,537
1270,539
1271,539
1272,539
1273,538
1274,536
1275,537
1276,538
1277,540
1278,540
1279,539
1280,537
1281,536
1282,540
1283,540
1284,548
1285,550
1286,547
1287,542
1288,542
1289,543
1290,546
1291,546
1292,547
1293,547
1294,546
1295,548
1296,546
1297,546
1298,544
1299,547
1300,549
1301,548
1302,545
1303,544
1304,543
1305,544
1306,547
1307,548
1308,548
1309,547
1310,544
