Fix,GPS,22.5949406400,88.3617389000,-44.936767578125,0.0,9.935046,,1731224694000,0.07069866,,561449800277009,2.5,0,,,
Fix,GPS,22.5949412600,88.3617383300,-44.9874267578125,0.0,9.935046,,1731224695000,0.07069779,,561450793417894,2.5,0,,,
Fix,GPS,22.5949414400,88.3617381500,-44.988800048828125,0.0,9.935046,,1731224696000,0.070699506,,561451795004404,2.5,0,,,
Fix,GPS,22.5949415100,88.3617380800,-44.989654541015625,0.0,9.935046,,1731224697000,0.07070015,,561452799988831,2.5,0,,,
Fix,GPS,22.5949415400,88.3617380500,-44.989501953125,0.0,9.935046,,1731224698000,0.070699126,,561453790707372,2.5,0,,,
Fix,GPS,22.5949415800,88.3617380200,-44.98828125,0.0,9.935046,,1731224699000,0.07069721,,561454792982684,2.5,0,,,
Fix,GPS,22.5949416100,88.3617379900,-44.98907470703125,0.0,9.935046,,1731224700000,0.07070885,,561455794860757,2.5,0,,,
Fix,GPS,22.5949416200,88.3617379800,-44.9888916015625,0.0,9.935046,,1731224701000,0.070699185,,561456795710652,2.5,0,,,
Fix,GPS,22.5949416400,88.3617379700,-44.988800048828125,0.0,9.935046,,1731224702000,0.07069978,,561457792802110,2.5,0,,,
Fix,GPS,22.5949416500,88.3617379600,-44.988006591796875,0.0,9.935046,,1731224703000,0.07070342,,561458796101068,2.5,0,,,
Fix,GPS,22.5949416500,88.3617379700,-44.988677978515625,0.0,9.935046,,1731224704000,0.07069701,,561459796197890,2.5,0,,,
Fix,GPS,22.5949416500,88.3617379900,-44.989776611328125,0.0,9.935046,,1731224705000,0.07069702,,561460790317005,2.5,0,,,
Fix,GPS,22.5949416500,88.3617380000,-44.9906005859375,0.0,9.935046,,1731224706000,0.07069705,,561461794543723,2.5,0,,,
Fix,GPS,22.5949416600,88.3617380100,-44.990020751953125,0.0,9.935046,,1731224707000,0.07069905,,561462787585441,2.5,0,,,
Fix,GPS,22.5949416600,88.3617380100,-44.989471435546875,0.0,9.935046,,1731224708000,0.07069901,,561463799408826,2.5,0,,,
Fix,GPS,22.5949416500,88.3617380300,-44.9901123046875,0.0,9.935046,,1731224709000,0.070697024,,561464801027576,2.5,0,,,
Fix,GPS,22.5949416500,88.3617380400,-44.99102783203125,0.0,9.935046,,1731224710000,0.07069706,,561465796948096,2.5,0,,,
Fix,GPS,22.5949416600,88.3617380400,-44.9915771484375,0.0,9.935046,,1731224711000,0.070706055,,561466798149711,2.5,0,,,
Fix,GPS,22.5949416700,88.3617380300,-44.991455078125,0.0,9.935046,,1731224712000,0.07070052,,561467789468460,2.5,0,,,
Fix,GPS,22.5949417100,88.3617380100,-44.9920654296875,0.0,9.935046,,1731224713000,0.07069747,,561468790036532,2.5,0,,,
Fix,GPS,22.5949417600,88.3617379800,-44.9937744140625,0.0,9.935046,,1731224714000,0.0706975,,561469798044866,2.5,0,,,
Fix,GPS,22.5949418100,88.3617379400,-44.99530029296875,0.0,9.935046,,1731224715000,0.0706995,,561470800530127,2.5,0,,,
Fix,GPS,22.5949418600,88.3617379000,-44.99676513671875,0.0,9.935046,,1731224716000,0.070697695,,561471797394604,2.5,0,,,
Fix,GPS,22.5949419000,88.3617378700,-44.997955322265625,0.0,9.935046,,1731224717000,0.07069691,,561472800486011,2.5,0,,,
Fix,GPS,22.5949419200,88.3617378400,-44.997772216796875,0.0,9.935046,,1731224718000,0.07071218,,561473795091219,2.5,0,,,
Fix,GPS,22.5949419400,88.3617378100,-44.99676513671875,0.0,9.935046,,1731224719000,0.070711926,,561474795480749,2.5,0,,,
Fix,GPS,22.5949419400,88.3617378000,-44.995208740234375,0.0,9.935046,,1731224720000,0.07070368,,561475792378301,2.5,0,,,
Fix,GPS,22.5949419600,88.3617377800,-44.99365234375,0.0,9.935046,,1731224721000,0.07070369,,561476797207363,2.5,0,,,
Fix,GPS,22.5949419800,88.3617377600,-44.994049072265625,0.0,9.935046,,1731224722000,0.07070147,,561477798720853,2.5,0,,,
Fix,GPS,22.5949420000,88.3617377300,-44.994171142578125,0.0,9.935046,,1731224723000,0.07070077,,561478788318873,2.5,0,,,
Fix,GPS,22.5949420200,88.3617377200,-44.9947509765625,0.0,9.935046,,1731224724000,0.07069954,,561479799177622,2.5,0,,,
Fix,GPS,22.5949420500,88.3617376900,-44.9951171875,0.0,9.935046,,1731224725000,0.07070202,,561480790074914,2.5,0,,,
Fix,GPS,22.5949420600,88.3617376800,-44.99517822265625,0.0,9.935046,,1731224726000,0.07070784,,561481794782674,2.5,0,,,
Fix,GPS,22.5949420800,88.3617376700,-44.995269775390625,0.0,9.935046,,1731224727000,0.07070375,,561482787866528,2.5,0,,,
Fix,GPS,22.5949420900,88.3617376600,-44.994720458984375,0.0,9.935046,,1731224728000,0.0707022,,561483795684912,2.5,0,,,
Fix,GPS,22.5949421100,88.3617376400,-44.9951171875,0.0,9.935046,,1731224729000,0.070702195,,561484791739912,2.5,0,,,
Fix,GPS,22.5949421400,88.3617376200,-44.99664306640625,0.0,9.935046,,1731224730000,0.07070224,,561485800040486,2.5,0,,,
Fix,GPS,22.5949426900,88.3617371200,-45.14337158203125,0.0,9.935046,,1731224731000,0.070700824,,561486791709963,2.5,0,,,
Fix,GPS,22.5949429400,88.3617368900,-45.17547607421875,0.0,9.935046,,1731224732000,0.07070377,,561487800552307,2.5,0,,,
Fix,GPS,22.5949430700,88.3617367700,-45.19561767578125,0.0,9.935046,,1731224733000,0.07070145,,561488792433035,2.5,0,,,
